location,society,total_sqft,price,bath_processed,balcony_processed,availability_encoded,area_type_encoded,size_cleaned
Nagarbhavi,MaentNa,884.0,36.0,2,2,0,3,1
Hoodi,Caycend,1026.0,60.87,2,1,2,3,2
Old Airport Road,Jaades ,2690.0,191.0,4,3,2,3,4
Subramanyapura,Mayne A,975.0,58.0,2,1,0,3,2
Sarjapur  Road,Maana E,1700.0,135.0,3,3,0,3,3
Whitefield,PrOakSi,3606.0,312.0,4,2,0,3,4
Padmanabhanagar,ACersd ,1258.0,115.0,2,2,0,3,2
Kanakpura Road,Advash ,1560.0,92.0,3,2,0,1,3
Old Madras Road,Brica E,3630.0,195.0,6,1,0,3,4
JP Nagar,Adace P,2000.0,250.0,3,2,0,0,3
Hebbal,Raard B,2790.0,198.0,4,3,2,3,4
Badavala Nagar,DNncasa,1494.0,94.55,2,2,2,3,3
Hennur Road,Puachal,1482.0,87.0,2,1,2,3,3
Rustam Bagh Layout,Inuseda,800.0,50.0,2,3,0,3,2
Hulimavu,RatosAr,1100.0,71.5,2,2,0,3,2
4th Block Koramangala,EvestPi,1225.0,150.0,2,2,0,3,2
Hormavu,BhncyRe,1180.0,50.0,2,2,0,0,2
Belatur,Kehts H,1260.0,58.0,2,2,0,3,2
Yelahanka,Vaaram ,3450.0,173.0,2,2,2,3,4
Arekere,DancyRe,1190.0,55.0,2,2,0,0,2
Sarjapur  Road,Klark L,1691.0,119.0,3,2,0,3,3
Frazer Town,Frhts H,1305.0,95.45,3,3,0,0,3
Nallurhalli,Mauil T,1250.0,65.0,2,2,0,3,2
Kereguddadahalli,N iewak,800.0,28.0,2,2,0,0,2
Jalahalli East,ShshaSa,1020.0,58.0,2,1,0,3,2
Frazer Town,Loente ,1510.0,75.0,2,1,0,0,3
Laxmi Sagar Layout,DubowRa,1614.0,110.0,3,1,0,3,3
Bommenahalli,Prana S,1632.0,145.0,3,0,0,0,4
7th Phase JP Nagar,BriumMi,5080.0,450.0,7,2,0,0,6
Bannerghatta,Mamespa,3012.0,250.0,6,2,2,3,4
Sector 2 HSR Layout,NCdgerj,1450.0,135.0,2,2,0,3,3
Bannerghatta Road,Hiate F,1200.0,75.0,2,2,0,3,2
Hosur Road,PuendWe,1508.0,110.0,2,1,0,3,3
Dodda Nekkundi Extension,AlEcone,1188.0,73.0,2,3,0,3,2
Old Airport Road,Jaades ,2690.0,199.0,4,3,2,3,4
Harlur,Prncyrn,1174.0,76.0,2,1,0,3,2
Old Madras Road,SheldGr,1350.0,58.99,3,1,2,3,3
Frazer Town,Bamita ,1870.0,185.0,3,3,0,3,3
Kengeri Satellite Town,DSestSt,1072.0,25.0,2,1,2,3,2
Kengeri,VBn 2lm,726.0,31.0,2,1,2,3,2
Hosur Road,Saageat,1345.0,106.0,2,2,0,3,2
Begur Road,Dhalsh ,1200.0,45.0,2,2,0,3,2
Hormavu,SyidaCr,1050.0,77.0,2,1,0,3,2
Vittasandra,Prlla C,1743.0,85.0,3,2,0,3,3
Sarjapur,Sondaka,950.0,32.5,2,2,0,3,2
Domlur,Saiewas,640.0,55.0,1,0,0,0,1
Electronic City Phase II,MJtroty,972.0,44.0,2,1,2,3,2
Marathahalli,PadgeOa,1840.0,98.0,3,3,0,3,3
Electronic City,Prarkun,1128.0,64.0,2,1,0,3,2
Harappanahalli,Clood E,2400.0,95.0,2,1,0,2,2
BTM Layout,Mames M,1150.0,63.0,2,2,0,3,2
Hennur Road,Gollela,3450.0,294.0,4,3,2,0,4
Jigani,DLhtsen,920.0,46.0,2,2,0,3,2
Thanisandra,Soitya ,1564.0,101.0,3,1,0,3,3
Uttarahalli,SirlsPe,1045.0,45.0,2,1,0,3,2
Kanaka Nagar,SoniaPe,2479.13,215.0,3,1,0,3,3
Sarjapur  Road,Adeatlm,1846.0,140.0,3,2,0,3,3
Govindpura,Muncy R,1690.0,75.0,3,0,0,3,3
Yelahanka,InllaPa,3042.0,131.0,4,0,0,0,4
Rajaji Nagar,Brway G,1640.0,223.0,3,3,0,3,3
NR Colony,GKncysi,1068.0,40.05,2,1,2,0,2
Kanakpura Road,SGiewrk,1135.0,58.0,2,2,0,3,2
Kaggadasapura,AnaveEn,1150.0,42.0,2,3,0,3,2
Tumkur Road,Sahtsva,1354.0,90.0,3,1,0,3,3
Varthur,SLncyaj,1320.0,110.0,2,1,0,2,4
Kanakpura Road,ColeyNa,3500.0,225.0,6,2,0,0,4
GM Palaya,Samesan,1000.0,36.0,2,1,0,3,2
Byagadadhenahalli,VBavaai,1130.0,38.0,3,1,0,3,3
Ashwathnagar,Vaour S,2204.0,305.0,2,3,0,3,3
Gubbalala,MauilTr,1745.0,104.0,3,2,0,3,3
Doddabommasandra,MaaveEn,1550.0,70.0,2,3,0,3,3
Sarjapura - Attibele Road,Soe 2as,1329.0,45.95,2,2,0,3,3
Maruthi Layout,Prareth,916.0,42.0,2,1,0,3,2
Hulimavu,NiarkHy,688.0,50.0,1,2,0,3,1
Sree Narayana Nagar,Sholaya,1358.0,50.0,3,3,0,3,3
Kanakpura Road,Soazak ,1331.0,107.0,2,1,2,3,2
Malleshwaram,Kaamai ,686.0,62.5,1,1,0,3,1
Hoodi,Sulla S,1050.0,50.0,2,2,0,3,2
Talaghattapura,Sodgere,2106.0,126.0,3,2,0,3,3
Bhoganhalli,Rosha I,1718.0,90.2,3,2,2,3,3
Raja Rajeshwari Nagar,GrrvaGr,1530.0,57.0,3,2,0,3,3
Hebbal,Arade A,1075.0,52.0,2,3,0,0,2
Tunganagara,DSdidSp,1936.0,54.21,2,2,2,3,3
Nagavara,K dotna,2172.65,120.0,3,3,0,3,4
Sarjapur  Road,Soikaa ,1117.0,29.99,2,3,0,3,2
Remco Bhel Layout,Suncy R,1685.0,110.0,2,1,0,0,3
CV Raman Nagar,AnncyRe,740.0,37.0,2,1,0,3,2
Banashankari,Bregae ,1800.0,115.0,3,2,0,3,3
Yelachenahalli,PuontBe,1700.0,130.0,3,2,0,3,3
Uttarahalli,Kinumsh,850.0,37.93,2,2,0,0,2
Hennur Road,SaireSa,1891.0,139.0,3,1,0,3,3
Jalahalli,Prensin,1400.0,80.0,1,1,0,0,2
Sonnenahalli,DSgam S,896.0,43.75,2,1,0,0,2
Vijayanagar,Saityat,1180.0,65.0,2,2,2,3,2
Chokkasandra,Siise R,850.0,33.0,2,1,0,0,2
Kanakapura,GoityEt,1699.0,97.0,3,3,2,3,3
Bellandur,NiCodCa,2025.0,109.0,4,3,2,3,4
Panduranga Nagar,Jeshan ,500.0,20.0,1,0,0,0,1
Malleshwaram,Sariaat,2475.0,332.0,4,3,0,3,3
Haralur Road,Rencyed,1455.0,145.0,2,1,0,3,2
Lingadheeranahalli,Soiewre,1521.0,94.99,3,1,0,3,3
Byadarahalli,Prurten,3155.0,370.0,4,2,0,3,3
Hebbal Kempapura,GonumPl,2900.0,240.0,4,2,0,3,3
Jakkur Plantation,Reicace,1765.0,105.0,3,3,0,3,3
Kasavanhalli,Incksaf,1980.0,88.0,3,2,0,3,3
Kaverappa Layout,Dural C,1265.0,70.0,2,3,0,3,2
Bommasandra,Niara S,1034.0,40.0,2,3,0,3,2
Electronic City,GMown E,1070.0,54.0,2,1,0,3,2
Doddanekundi,AkletBa,2045.0,154.0,4,3,0,3,3
Bellandur,AkonyHa,1490.0,98.0,2,2,0,3,3
Yeshwanthpur,IBityin,671.0,36.85,1,1,0,3,1
Kammasandra,Elentrk,1156.0,32.0,2,2,0,3,2
Haralur Road,NDionas,2017.0,125.0,3,2,0,3,3
Thigalarapalya,Prtanha,3122.0,235.0,6,2,0,3,4
Ramagondanahalli,ViistLa,1635.0,62.0,3,1,2,3,3
Kanakpura Road,Soazak ,1296.0,89.0,2,1,2,3,2
Budigere,PrityTr,1139.0,62.0,2,2,0,3,2
Binny Pete,Shestlo,1245.0,86.28,2,1,2,3,2
Marathahalli,PueraRi,3951.0,220.0,4,2,0,0,4
Electronic City,Itelaa ,550.0,15.0,1,1,0,3,2
Ramamurthy Nagar,ItRRVna,360.0,26.0,1,1,0,3,1
Green Glen Layout,Soweray,1670.0,120.0,3,2,0,0,3
7th Phase JP Nagar,LencyRe,1050.0,57.0,2,1,0,0,3
Hennur Road,ChionCo,1703.0,101.0,3,1,0,3,3
Kaggalipura,Baowsig,1210.0,58.0,2,1,0,3,3
Haralur Road,RInceeg,1140.0,43.0,2,2,0,3,2
7th Phase JP Nagar,Vasta C,1343.0,56.41,2,2,0,3,3
Kalkere,Sothin ,925.0,51.0,2,2,2,3,2
Kanakpura Road,SoapeSu,1420.0,75.0,2,2,0,3,3
1st Block Koramangala,Dhnts A,1415.0,110.0,2,3,0,0,2
Shree Ananth Nagar Layout,Aaityi ,1210.0,60.0,2,2,0,3,2
Yeshwanthpur,RNvasth,1852.0,160.0,3,2,0,3,3
Hoskote,Deiveer,1250.0,50.0,3,2,0,3,3
9th Phase JP Nagar,Vasisvi,1100.0,65.0,2,1,2,3,2
Jakkur,ArndsSk,1100.0,53.35,2,1,2,3,2
Magadi Road,Bhgarve,1350.0,100.0,1,0,0,2,2
Panathur,SVnamnd,1546.0,99.0,3,2,0,3,3
Ambedkar Nagar,SoechHa,1424.0,90.0,2,2,0,3,2
Bellandur,Itnaia ,1398.0,68.0,3,1,0,0,3
Indira Nagar,MCtleas,1650.0,200.0,3,2,0,3,3
Brookefield,Mapleer,1476.0,105.0,3,2,0,3,3
Magadi Road,Vrenty ,1322.0,58.82,2,2,2,3,3
Sarjapur,Ahownve,1285.0,68.0,2,2,0,0,3
Ambalipura,SJodsed,1150.0,80.0,2,2,0,0,2
Thanisandra,MenueNo,1430.0,56.0,2,2,0,3,3
Thubarahalli,Kenia G,1185.0,65.0,2,2,0,0,2
Bannerghatta Road,Leate O,1760.0,67.0,3,2,0,3,3
Kanakpura Road,Soazak ,1297.0,105.0,2,1,2,3,2
Sector 1 HSR Layout,SodilDa,1840.0,155.0,3,2,0,3,3
BTM 2nd Stage,Jancyva,950.0,52.0,2,1,0,1,2
Yeshwanthpur,Prthand,1250.0,95.815,2,0,0,3,2
Electronic City,Prarkun,1571.0,89.0,3,2,2,3,3
Electronic City Phase II,Brods W,1031.0,55.0,2,1,0,3,2
Whitefield,Goted U,1485.0,90.0,2,1,2,3,2
Ananth Nagar,Marnara,1109.0,60.0,2,1,2,3,2
Whitefield,Prtates,950.0,50.0,1,1,2,3,1
Hosa Road,Mahesr ,1161.0,55.15,2,1,2,3,2
Electronic City Phase II,MJtroty,1003.0,40.6,2,1,2,3,2
Hulimavu,RatosAr,1255.0,73.0,2,2,0,3,2
1st Phase JP Nagar,Prhtsok,1875.0,167.0,3,1,0,3,3
Uttarahalli,Aklia R,1330.0,47.0,2,1,0,3,3
Marathahalli,Prionad,2519.0,185.0,5,2,0,3,4
Old Madras Road,Feowsdi,1450.0,132.0,3,3,0,2,4
Hoodi,GoAirej,1837.0,145.0,3,3,2,3,3
Kudlu Gate,ACiteda,1238.0,55.0,2,3,0,3,2
7th Phase JP Nagar,Vasta C,1405.0,59.01,2,2,0,3,3
Kanakpura Road,PuandHi,1673.0,115.0,3,2,0,3,3
Varthur,DSingSt,1112.0,40.0,2,2,0,3,2
Electronic City Phase II,Assha A,545.0,27.0,1,1,0,3,2
Subramanyapura,Mayne A,985.0,58.0,2,1,0,3,2
Kanakpura Road,GolusLi,670.0,36.29,1,0,2,3,1
Hosa Road,Sosisic,1430.0,97.52,2,1,2,3,2
Kengeri Satellite Town,Malowr ,1050.0,43.0,2,2,0,3,2
ITI Layout,Arnorya,1533.0,115.0,3,2,0,0,3
Malleshwaram,Vaonyi ,2610.0,399.0,3,2,0,3,3
Lakshminarayana Pura,RothaVa,1750.0,150.0,3,2,0,3,3
Prithvi Layout,Prlmsge,1352.0,87.5,2,2,0,3,2
Harlur,SosicCl,1754.0,125.0,3,2,0,3,3
Tejaswini Nagar,Paion P,1560.0,85.0,3,2,0,0,3
Bannerghatta,Mamespa,3012.0,268.0,6,2,2,3,4
Channasandra,Pritehi,1470.0,90.0,2,1,0,3,3
9th Phase JP Nagar,NaensGa,1035.0,45.0,2,1,0,0,2
Whitefield,PrOakSi,2400.0,329.0,5,1,0,2,4
Jakkur,Elidet ,1100.0,52.0,2,2,0,3,2
Bannerghatta Road,Hiatei ,595.0,31.83,1,1,2,3,1
HSR Layout,Brstark,1650.0,110.0,3,2,0,3,3
Ramagondanahalli,ViistLa,1235.0,46.8,2,1,2,3,2
7th Phase JP Nagar,Eladero,1400.0,115.0,3,1,0,0,3
Sundar Ram Shetty Nagar,NeendLe,1375.0,85.0,2,3,0,3,3
Yelahanka,Ulure S,1065.0,40.84,2,1,0,3,2
Whitefield,UKe 2nz,825.0,45.0,1,1,0,3,1
Udayapur Village,Plowsri,1440.0,60.33,2,2,2,3,3
Electronic City,GMown E,870.0,39.5,2,1,0,3,2
Panathur,Prcesvy,1195.0,84.0,2,1,0,3,2
Raja Rajeshwari Nagar,Lancy R,1530.0,61.2,3,3,0,3,3
Alfa Garden Layout,Saeina ,975.0,43.0,2,1,0,3,2
Iblur Village,DNionfl,1920.0,130.0,3,2,2,3,3
Thanisandra,Bhe 2ko,1183.0,58.56,2,1,2,3,2
Mico Layout,Inasy E,1550.0,65.0,2,2,0,3,3
Kaggadasapura,Frides ,1110.0,53.0,2,3,0,3,2
Kaggadasapura,SLireap,1105.0,38.67,2,1,0,3,2
Hebbal,SNontle,3067.0,230.0,4,2,2,3,4
Sarjapur  Road,PualeSk,1929.0,103.0,4,1,2,3,3
Ramamurthy Nagar,SVyam N,1525.0,100.0,3,1,0,0,3
Nehru Nagar,Ceste C,1775.0,110.0,3,3,0,3,3
Banashankari,Koestpt,1125.0,63.0,2,1,0,0,2
Sonnenahalli,Skacak ,1268.0,73.0,2,1,0,3,2
Hoodi Layout,SVstos ,1500.0,88.0,3,2,0,0,3
Electronic City,Prarkun,630.0,47.0,1,1,2,3,1
Seegehalli,Paoliy ,1525.0,65.0,3,2,0,3,3
Kaggadasapura,Mebhaee,1060.0,48.0,2,2,0,3,2
Lingadheeranahalli,Soiewre,1687.0,127.0,3,3,0,3,3
Thanisandra,Soitya ,1847.0,123.0,3,2,0,3,3
Begur Road,Dhalsh ,1410.0,53.0,2,3,0,3,3
7th Phase JP Nagar,SrncyRe,1075.0,42.99,2,1,0,3,2
Rajaji Nagar,PhestOn,3526.0,492.0,4,1,0,3,4
Gaundanapalya,Sioma A,1010.0,46.0,2,2,0,0,2
Haralur Road,SNnia E,1875.0,110.0,3,3,2,3,3
Kanakpura Road,GolusLi,983.0,50.6,2,1,2,3,2
Laxmi Sagar Layout,DubowRa,1140.0,76.0,2,1,0,3,2
Sarjapur  Road,Adeatlm,1215.0,110.0,2,2,0,3,2
Bellandur,SoderLa,2039.0,168.0,3,2,0,3,3
Kaggadasapura,Foity S,1350.0,55.5,3,1,0,3,3
KR Puram,Jahidva,1005.03,47.405,3,0,0,1,3
Electronic City,PrwarSa,921.0,34.0,2,1,0,3,2
Kundalahalli,Rasom B,1010.0,49.27,2,1,0,3,2
KR Puram,MCnexva,1015.0,43.0,2,1,2,3,2
Lakshminarayana Pura,RothaVa,1179.0,75.0,2,1,0,0,2
Kammasandra,Prarkhi,870.0,24.0,2,1,0,3,2
Malleshwaram,Sariaat,2475.0,320.0,4,3,0,3,3
2nd Phase JP Nagar,Gintsar,1000.0,55.0,1,1,0,3,2
Kammasandra,Daden G,1200.0,66.0,2,1,2,2,2
Hennur,Shateor,1255.0,57.5,2,1,0,3,2
Hosur Road,Collsrn,1085.0,30.38,2,2,0,3,2
Kanakpura Road,Soazak ,1592.0,125.0,3,2,2,3,3
Kogilu,Sourtal,1934.0,150.0,3,2,2,3,3
Harlur,Sancyi ,1200.0,49.5,2,1,0,3,2
Uttarahalli,PoetyHo,3600.0,120.0,6,2,0,3,6
Old Madras Road,SheldGr,935.0,45.0,2,1,2,3,2
Bommasandra,Vaodspe,877.0,30.0,2,2,0,0,2
Ashwathnagar,GMentAp,936.0,42.0,2,2,0,3,2
Hennur Road,Puachal,1232.0,69.61,2,0,2,3,2
Ambedkar Nagar,SoechHa,2225.0,169.0,4,2,0,3,3
Dasarahalli,Sooneoo,1901.0,119.0,3,2,0,3,3
Sarjapur  Road,Klark L,1819.0,100.0,3,2,2,3,3
Old Madras Road,Brica E,3630.0,200.5,6,0,0,3,4
9th Phase JP Nagar,ImiteEl,5000.0,290.0,4,3,0,0,4
Sarjapur  Road,Ceiti I,1845.0,110.0,4,1,0,3,3
HSR Layout,NRosete,1140.0,46.0,2,2,0,3,2
Talaghattapura,Sodgere,2254.0,170.0,3,2,2,3,3
Frazer Town,Asareur,1750.0,150.0,3,2,0,3,3
Jalahalli West,Caiseha,1020.0,37.0,2,1,0,0,2
Lingadheeranahalli,Soiewre,1893.0,140.0,3,2,0,3,3
Vasanth nagar,Pricae ,3025.0,500.0,3,0,0,3,3
Bisuvanahalli,Prityel,1075.0,90.0,2,1,0,3,3
Kasavanhalli,HMonymp,1200.0,78.0,2,1,0,3,2
Sarjapur  Road,Brareio,1233.0,77.65,2,2,2,3,2
Bannerghatta Road,SNity S,1255.0,65.26,2,2,0,3,2
Sarjapur  Road,Shthi S,1525.0,60.0,2,2,0,3,3
Tumkur Road,Sahtsva,1240.0,84.0,2,1,0,3,3
Subramanyapura,Mayne A,1245.0,68.0,2,1,0,3,3
Hosa Road,Akvam P,1004.0,36.43,2,0,2,3,2
Bisuvanahalli,Prityel,1075.0,35.99,2,1,0,3,3
Whitefield,SrireSo,1155.0,60.0,2,1,0,3,2
Doctors Layout,Mavelr ,1520.0,62.0,2,3,0,3,2
Thigalarapalya,Prtanha,3122.0,245.0,6,2,0,3,4
Harlur,Prncyrn,1290.0,85.0,2,1,0,3,2
Malleshwaram,SrntsRV,900.0,95.0,2,1,0,3,2
Hennur Road,Koagati,987.0,49.0,2,1,0,3,2
Old Madras Road,Brglede,1720.0,100.0,3,2,0,3,3
Hebbal,Ratlet ,1040.0,50.0,2,1,0,3,2
Raja Rajeshwari Nagar,Neess P,1030.0,50.0,2,1,0,0,2
Neeladri Nagar,GeereEc,2556.0,133.0,3,2,0,3,3
Basavangudi,KuisePa,1850.0,168.0,3,1,0,3,3
7th Phase JP Nagar,BriumMi,1270.0,83.0,2,1,0,3,2
Domlur,IBictnd,1050.0,85.0,2,2,0,3,2
Vishwapriya Nagar,Aaniaa ,946.0,38.0,2,1,2,3,2
CV Raman Nagar,VeSkyva,1726.0,145.0,3,3,0,0,3
Sarakki Nagar,Sowerew,2121.0,253.0,4,3,0,3,3
Vittasandra,Prlla C,1404.0,75.0,2,1,0,3,2
Kengeri,Vaens G,1025.0,57.0,2,2,0,3,2
Lottegolla Halli,AnialPa,3750.0,550.0,3,1,0,3,4
Kodbisanhalli,Diaste ,4800.0,629.0,5,3,0,0,4
R.T. Nagar,Dhows M,1040.0,46.0,2,2,0,3,2
Banashankari,Bregae ,1310.0,80.0,2,2,2,3,2
Uttarahalli,Baveles,1788.0,98.34,3,2,0,3,3
Raja Rajeshwari Nagar,GrrvaGr,1144.0,38.55,2,2,0,3,2
Kasavanhalli,Oca 2 V,1646.0,79.5,3,2,2,3,3
Sarjapur  Road,Klark L,4395.0,242.0,4,2,0,3,4
Iblur Village,DNionfl,1995.0,135.0,3,2,2,3,3
Hosakerehalli,Maunt M,1085.0,47.74,2,1,2,3,2
Budigere,PrityTr,1139.0,56.8,2,2,0,3,2
Pattandur Agrahara,MaidoPl,1767.0,98.0,3,2,0,3,3
Bellandur,Maonsrn,1692.0,88.0,3,2,0,3,3
Uttarahalli,Aklia R,1345.0,57.0,2,1,0,3,3
Basapura,Krtiqa ,1100.0,60.0,2,1,0,3,2
Gollarapalya Hosahalli,Mauner ,1408.0,62.0,3,3,0,3,3
Bileshivale,LGDewke,6040.0,170.0,4,2,0,2,5
Thigalarapalya,Prtanha,2072.0,150.0,4,2,0,3,3
Malleshwaram,Maens G,1420.0,158.0,2,1,0,3,2
Hosa Road,SStusan,1063.0,31.9,2,1,2,3,2
Thanisandra,MenueNo,1430.0,56.0,2,2,0,3,3
Sector 7 HSR Layout,Saitya ,1760.0,145.0,3,2,0,3,3
Whitefield,Suent V,2010.0,92.0,3,3,0,3,3
Kanakpura Road,Wiowsri,1480.0,64.23,2,2,0,3,3
Frazer Town,Meentan,4850.0,385.0,6,2,0,3,4
Singasandra,GRe 2iv,1100.0,52.0,2,1,0,3,2
Harlur,SosicCl,1752.12,116.0,3,2,0,3,3
Balagere,Soresea,645.0,41.9,1,0,2,3,1
Hennur Gardens,PlhtsHe,1942.0,102.0,3,2,0,0,3
Ashirvad Colony,Swhtsna,1000.0,53.0,2,2,0,0,2
Yeshwanthpur,IBityin,668.0,36.85,1,1,0,3,1
Thanisandra,R ra  R,1800.0,90.0,3,3,0,3,3
Yelahanka,Pyikad ,1036.0,39.35,2,3,0,3,2
Marathahalli,PueraRi,1583.0,105.0,3,3,0,3,3
Padmanabhanagar,Bhise P,1100.0,65.0,2,2,0,3,2
Vittasandra,Prlla C,1246.0,65.0,2,1,0,3,2
Dodda Nekkundi,SaisePa,850.0,28.0,2,3,0,3,2
Raja Rajeshwari Nagar,GrrvaGr,1196.0,51.51,2,2,0,3,2
Thanisandra,Soitya ,1697.0,114.0,3,2,0,3,3
Sarjapur  Road,Co IIla,3750.0,290.0,6,3,0,2,4
Howthinarayanappa Garden,Vidil D,1022.0,52.0,2,2,0,3,2
Kammasandra,PaigeMa,1018.0,23.45,2,0,0,3,2
Bharathi Nagar,FoapeWa,1322.0,68.0,2,2,0,3,2
Marsur,AreraRe,1800.0,145.0,4,2,0,2,4
Cambridge Layout,Sancybr,2400.0,260.0,3,1,0,0,3
Whitefield,Lallere,1635.0,85.0,2,2,0,3,3
Rajaji Nagar,PhestOn,3526.0,558.0,4,1,0,3,4
Ramakrishnappa Layout,PeBayle,2770.0,460.0,3,1,0,0,3
EPIP Zone,BrontLa,2710.0,200.0,5,0,0,3,4
Maragondanahalli,ArnzaFi,1533.0,85.0,3,2,0,3,3
Akshaya Nagar,Hiows C,1720.0,134.0,3,1,0,3,3
Yeshwanthpur,Aroomba,1185.0,75.84,2,2,2,3,2
Attibele,Jae 1hu,395.0,10.25,1,1,0,0,1
Electronic City Phase II,Brods W,1031.0,56.35,2,1,0,3,2
Thanisandra,G conTh,2650.0,240.0,4,2,0,3,4
Uttarahalli,SLnssPr,1330.0,46.55,2,2,0,3,3
Hennur,Exitym ,1259.0,57.0,2,2,0,3,2
Raja Rajeshwari Nagar,GRvanun,1570.0,88.0,3,2,0,0,3
Bisuvanahalli,Prityel,1075.0,36.0,2,1,0,0,3
Whitefield,Prtates,1216.0,79.0,2,1,2,3,2
Sarjapur  Road,Srisei ,1428.0,66.0,2,2,0,3,3
Doddakannelli,SastyDy,1475.0,70.0,3,2,0,3,3
Hennur Road,Puachal,1804.0,102.0,3,2,2,3,3
Begur Road,Dhalsh ,1260.0,46.62,2,2,0,3,2
Hennur Road,Asadacy,2160.0,160.0,3,2,0,0,3
Yelahanka,Chara N,1300.0,65.0,2,3,0,3,2
Cox Town,EGdiaAr,605.0,29.0,1,1,0,3,1
Bhoganhalli,Rosha I,1444.0,75.97,2,1,2,3,2
Bisuvanahalli,Prityel,845.0,29.0,2,1,0,3,2
Kanakpura Road,PrarePa,700.0,35.0,2,1,2,3,2
Kaggadasapura,Saconp ,1625.0,55.0,3,2,0,3,3
Pulkeshi Nagar,ElaleSp,1452.55,110.0,2,3,0,3,2
Budigere,PrityTr,1139.0,56.85,2,2,0,3,2
Kanakpura Road,PuandHi,1660.0,75.0,3,3,0,3,3
Jayanagar,Rakulai,1170.0,105.0,2,3,0,3,2
Somasundara Palya,Srhts P,1448.0,68.0,2,2,0,3,2
Kadugodi,Alestrb,1762.0,110.0,3,3,2,3,3
Kaggadasapura,SLireap,1105.0,38.65,2,1,0,3,2
Yelahanka,Miitat ,1825.0,105.0,3,1,2,3,3
 Bhoganhalli,Rosha I,296.0,22.89,1,0,2,3,1
Thanisandra,MenueNo,1185.0,43.0,2,2,0,3,2
Electronic City Phase II,Sryalan,1320.0,38.12,2,1,2,0,3
Hulimavu,Suelsa ,1058.0,48.0,2,1,0,3,2
Old Madras Road,Brglede,1200.0,72.0,2,1,2,3,2
Bannerghatta Road,SNity S,1550.0,78.0,3,2,0,3,3
Haralur Road,NDionas,2475.0,130.0,4,3,0,3,3
Jakkur,SoineC ,2249.81,260.5,4,3,2,3,4
7th Phase JP Nagar,Puarero,2503.0,188.0,4,0,2,3,4
Marathahalli,Prionad,2524.0,190.0,5,2,0,3,4
Jalahalli,Vaniai ,1045.0,76.77,2,2,0,3,2
Kanakapura,SPavenc,1290.0,45.15,2,3,0,3,3
Hoodi,SMaxyay,1400.0,78.0,2,1,0,3,2
Sarjapur  Road,Mades G,1680.0,112.0,3,1,0,3,3
Begur Road,Pruthg ,1634.0,83.33,3,1,2,3,3
Prithvi Layout,Prlmsge,1352.0,85.0,2,2,0,3,2
Balagere,HiqueMa,1145.0,65.0,2,2,2,3,2
7th Phase JP Nagar,BriumMi,2200.0,190.0,3,2,0,3,3
Raja Rajeshwari Nagar,Prllsan,1168.0,61.0,2,1,2,3,2
Electronic City Phase II,SNbay G,1205.0,75.0,2,1,2,3,2
Yeshwanthpur,Vatra N,1195.0,100.0,2,2,0,3,2
Pai Layout,Saent A,1550.0,90.0,2,2,0,3,3
Yelahanka,Niareum,1603.0,96.0,3,2,0,3,3
Malleshpalya,MancyRe,1405.0,77.0,2,2,0,0,3
KR Puram,MCvarar,1142.0,51.0,2,1,0,3,2
Whitefield,Brony H,1870.0,90.0,3,2,0,3,3
Subramanyapura,Chllsev,1313.0,73.0,2,2,0,3,2
Hennur Gardens,PlhtsHe,1945.0,120.0,3,3,0,0,3
Thanisandra,Bhmesy ,1573.0,95.0,3,2,2,3,3
Sarjapur  Road,Mades G,1255.0,92.0,2,1,0,3,2
Sarjapur  Road,Shthi S,1380.0,52.0,2,1,0,3,3
Uttarahalli,Sagnage,1279.0,48.0,2,2,0,3,2
Hebbal,SNontle,2526.0,250.0,2,2,2,3,3
Rajaji Nagar,PhestOn,3436.0,424.5,2,1,0,3,4
Uttarahalli,DSera S,1845.0,68.27,2,1,2,3,3
Motappa Layout,Puodse ,1360.0,59.27,2,1,0,3,3
Whitefield,Sancya ,1260.0,49.5,2,2,0,3,2
Dasanapura,Tavenew,965.0,42.5,2,1,0,0,2
Hoodi,Adion M,1350.0,48.0,2,3,0,0,3
Bhoganhalli,Rosha I,1447.0,75.97,2,1,2,3,2
Gottigere,M denGa,1153.0,48.5,2,1,0,3,2
Whitefield,Prtates,2830.0,145.5,5,0,2,3,4
Malleshpalya,A idse ,1065.0,50.0,2,2,0,3,2
Tala Cauvery Layout,Skarkev,1030.0,61.0,2,3,0,0,2
Marathahalli,PueraRi,4000.0,212.0,5,2,0,3,4
Begur Road,Dhalsh ,1410.0,44.42,2,3,0,3,3
Varthur,Myple M,1055.0,45.35,2,2,2,3,2
Yelahanka,Prensya,1304.0,79.0,2,1,2,3,2
Kammasandra,Puitea ,990.0,31.5,2,1,0,0,2
Tumkur Road,Coowsri,596.0,30.09,1,0,2,3,1
Haralur Road,NDionas,1300.0,73.0,2,2,0,3,2
Tumkur Road,Sapus S,1239.0,82.0,2,1,2,3,2
Sarjapur  Road,Daivon ,1403.0,51.63,3,3,2,3,3
Hosa Road,Sosisic,1365.0,92.0,2,1,0,3,2
8th block Koramangala,Sid 2ss,1165.0,135.0,2,1,0,3,2
Green Glen Layout,Solia D,1776.42,105.0,3,2,0,3,3
Bidadi,Etuney ,1107.0,33.0,2,2,0,3,2
Nallurhalli,DNtonri,1520.0,80.0,3,3,0,3,3
Kannamangala,Sonue A,1536.0,89.0,3,1,2,3,3
