location,total_sqft,price,bath_processed,balcony_processed,availability_encoded,area_type_encoded,size_cleaned
2nd Phase Judicial Layout,1150.0,40.25,2,1,0,3,2
Jakkur,1100.0,53.35,2,1,2,3,2
Magadi Road,1350.0,100.0,1,0,0,2,2
Panathur,1546.0,99.0,3,2,0,3,3
Ambedkar Nagar,1424.0,90.0,2,2,0,3,2
Bellandur,1398.0,68.0,3,1,0,0,3
Indira Nagar,1650.0,200.0,3,2,0,3,3
HBR Layout,1200.0,120.0,4,0,0,2,4
Brookefield,1476.0,105.0,3,2,0,3,3
Attiguppe,500.0,70.0,2,1,0,0,2
Magadi Road,1322.0,58.82,2,2,2,3,3
Srirampuram,432.0,40.0,2,1,0,2,2
Yemlur,1100.0,55.0,2,2,0,0,2
Race Course Road,4750.0,600.0,5,2,0,3,4
Sarjapur,1285.0,68.0,2,2,0,0,3
Ambalipura,1150.0,80.0,2,2,0,0,2
Thanisandra,1430.0,56.0,2,2,0,3,3
Marathahalli,1350.0,62.0,2,2,0,3,3
Gkvk Layout,1350.0,195.0,3,3,0,2,3
Thubarahalli,1185.0,65.0,2,2,0,0,2
Bannerghatta Road,1760.0,67.0,3,2,0,3,3
Bank Of Baroda Colony,2400.0,350.0,5,2,0,2,4
Kanakpura Road,900.0,41.0,2,1,2,3,2
Kanakpura Road,1297.0,105.0,2,1,2,3,2
Sector 1 HSR Layout,1840.0,155.0,3,2,0,3,3
Ramamurthy Nagar,950.0,50.79,2,1,0,0,2
Chikkabanavar,1200.0,70.0,4,1,0,2,5
BTM 2nd Stage,950.0,52.0,2,1,0,1,2
Yeshwanthpur,1250.0,95.815,2,0,0,3,2
Electronic City,1571.0,89.0,3,2,2,3,3
Electronic City Phase II,1031.0,55.0,2,1,0,3,2
Whitefield,1485.0,90.0,2,1,2,3,2
Ananth Nagar,1109.0,60.0,2,1,2,3,2
Koramangala,2200.0,180.0,3,2,0,3,3
Whitefield,950.0,50.0,1,1,2,3,1
Laggere,1200.0,150.0,2,0,0,2,3
Hosa Road,1161.0,55.15,2,1,2,3,2
Basavangudi,2350.0,300.0,3,3,0,3,3
Electronic City Phase II,1003.0,40.6,2,1,2,3,2
Bank Of Baroda Colony,1350.0,185.0,2,1,0,2,2
9th Phase JP Nagar,1080.0,37.0,2,2,2,3,2
Hulimavu,1255.0,73.0,2,2,0,3,2
Banaswadi,1250.0,60.0,2,0,0,3,2
Brookefield,1700.0,152.0,4,1,0,2,4
Ramamurthy Nagar,1200.0,66.0,2,0,0,2,3
St. John's Road,824.0,60.0,2,0,0,0,2
1st Phase JP Nagar,1875.0,167.0,3,1,0,3,3
Bommasandra Industrial Area,1320.0,38.12,2,1,2,0,3
Kothanur,9600.0,550.0,5,2,0,2,5
Uttarahalli,1330.0,47.0,2,1,0,3,3
Kaikondrahalli,1220.0,56.0,3,2,0,3,3
Electronic City,1111.0,50.0,3,1,2,3,3
Kothannur,1197.0,47.88,2,1,0,3,2
Marathahalli,2519.0,185.0,5,2,0,3,4
Doopanahalli,1340.0,100.0,2,1,2,3,3
Old Madras Road,1450.0,132.0,3,3,0,2,4
Hoodi,1837.0,145.0,3,3,2,3,3
Haralur Road,1200.0,245.0,4,3,0,2,4
Kudlu Gate,1238.0,55.0,2,3,0,3,2
7th Phase JP Nagar,1405.0,59.01,2,2,0,3,3
Doddaballapur,1690.0,80.0,3,2,0,3,4
Sathanur,1620.0,110.0,2,1,0,0,3
Kanakpura Road,1673.0,115.0,3,2,0,3,3
Margondanahalli,1090.0,58.0,2,0,0,2,2
Varthur,1112.0,40.0,2,2,0,3,2
Marathahalli,1385.0,66.65,2,2,0,3,3
Electronic City Phase II,545.0,27.0,1,1,0,3,2
Subramanyapura,985.0,58.0,2,1,0,3,2
Kanakpura Road,670.0,36.29,1,0,2,3,1
Kanakpura Road,1080.0,37.8,2,1,0,3,2
Hosa Road,1430.0,97.52,2,1,2,3,2
Kengeri Satellite Town,1050.0,43.0,2,2,0,3,2
Kumaraswami Layout,2000.0,139.0,4,1,0,2,4
Banashankari Stage VI,4800.0,190.0,4,3,0,0,4
ITI Layout,1533.0,115.0,3,2,0,0,3
Ramamohanapuram,2800.0,500.0,3,2,0,2,4
Malleshwaram,2610.0,399.0,3,2,0,3,3
Lakshminarayana Pura,1750.0,150.0,3,2,0,3,3
TC Palaya,1200.0,66.0,2,0,0,2,3
Prithvi Layout,1352.0,87.5,2,2,0,3,2
Harlur,1754.0,125.0,3,2,0,3,3
Tejaswini Nagar,1560.0,85.0,3,2,0,0,3
Bannerghatta,3012.0,268.0,6,2,2,3,4
Whitefield,3584.0,199.0,4,2,0,3,4
Channasandra,1470.0,90.0,2,1,0,3,3
9th Phase JP Nagar,1035.0,45.0,2,1,0,0,2
Whitefield,2400.0,329.0,5,1,0,2,4
Kammanahalli,1160.0,52.0,2,1,0,0,2
Jakkur,1100.0,52.0,2,2,0,3,2
Horamavu Agara,1170.0,38.0,2,2,0,3,2
Bannerghatta Road,595.0,31.83,1,1,2,3,1
HSR Layout,1650.0,110.0,3,2,0,3,3
1st Block Jayanagar,1875.0,235.0,2,3,0,3,3
Kamakshipalya,800.0,80.0,4,1,0,3,4
kanakapura road,1375.0,48.06,2,3,0,3,3
Ramagondanahalli,1235.0,46.8,2,1,2,3,2
Kaveri Nagar,750.0,25.0,1,2,0,3,1
7th Phase JP Nagar,1400.0,115.0,3,1,0,0,3
Poorna Pragna Layout,1270.0,50.79,2,2,0,3,3
Bannerghatta Road,1105.0,51.0,2,1,2,3,2
Sundar Ram Shetty Nagar,1375.0,85.0,2,3,0,3,3
Attibele,2168.0,95.0,4,2,0,2,4
Gottigere,1200.0,90.0,8,3,0,0,8
Yelahanka,1065.0,40.84,2,1,0,3,2
Sector 6 HSR Layout,3800.0,580.0,3,0,0,2,3
Raja Rajeshwari Nagar,3125.0,350.0,9,0,0,2,9
Whitefield,825.0,45.0,1,1,0,3,1
Nelamangala,1095.0,40.0,2,0,0,0,2
Ganga Nagar,720.0,65.0,3,3,0,2,3
Udayapur Village,1440.0,60.33,2,2,2,3,3
Electronic City,870.0,39.5,2,1,0,3,2
Panathur,1195.0,84.0,2,1,0,3,2
"Kirloskar layout, Basaveshwarnagar",1200.0,49.5,2,1,0,3,2
Raja Rajeshwari Nagar,1530.0,61.2,3,3,0,3,3
Padmanabhanagar,1708.0,90.5,2,1,2,3,3
Alfa Garden Layout,975.0,43.0,2,1,0,3,2
KR Puram,750.0,25.0,2,1,0,0,2
Gowdanapalya,1200.0,190.0,8,2,0,2,8
Iblur Village,1920.0,130.0,3,2,2,3,3
Nagarbhavi,1200.0,240.0,5,2,0,2,6
Thanisandra,1183.0,58.56,2,1,2,3,2
Kothanur,1140.0,90.0,4,1,0,2,4
Mico Layout,1550.0,65.0,2,2,0,3,3
Kaggadasapura,1110.0,53.0,2,3,0,3,2
NS Palya,1500.0,165.0,10,3,0,2,8
Kaggadasapura,1105.0,38.67,2,1,0,3,2
Anekal,1800.0,68.0,3,2,0,2,3
2nd Phase JP Nagar,2800.0,200.0,4,2,0,3,5
Bommanahalli,1000.0,29.9,2,2,2,3,2
Prithvi Layout,1190.0,68.0,2,2,0,0,2
2nd Stage Nagarbhavi,1350.0,200.0,4,1,0,2,4
Hebbal,3067.0,230.0,4,2,2,3,4
Sarjapur  Road,1929.0,103.0,4,1,2,3,3
Ramamurthy Nagar,1525.0,100.0,3,1,0,0,3
Nehru Nagar,1775.0,110.0,3,3,0,3,3
Banashankari,1125.0,63.0,2,1,0,0,2
Hessarghatta,900.0,42.0,2,2,0,3,2
Sarjapur  Road,1155.0,58.0,2,1,2,3,2
Hulimavu,1200.0,75.0,4,0,0,0,4
Sonnenahalli,1268.0,73.0,2,1,0,3,2
Hoodi Layout,1500.0,88.0,3,2,0,0,3
Electronic City,630.0,47.0,1,1,2,3,1
Seegehalli,1525.0,65.0,3,2,0,3,3
Kaggadasapura,1060.0,48.0,2,2,0,3,2
Lingadheeranahalli,1687.0,127.0,3,3,0,3,3
Thanisandra,1847.0,123.0,3,2,0,3,3
Begur Road,1410.0,53.0,2,3,0,3,3
7th Phase JP Nagar,1075.0,42.99,2,1,0,3,2
Rajaji Nagar,3526.0,492.0,4,1,0,3,4
BTM Layout,3000.0,338.0,3,0,0,0,3
Basavangudi,1500.0,143.0,2,1,2,0,3
Gaundanapalya,1010.0,46.0,2,2,0,0,2
Haralur Road,1875.0,110.0,3,3,2,3,3
Arasanakunte,1200.0,137.0,6,3,0,2,5
Kanakpura Road,983.0,50.6,2,1,2,3,2
Kasturi Nagar,1101.0,65.0,2,2,0,3,2
Laxmi Sagar Layout,1140.0,76.0,2,1,0,3,2
Sarjapur  Road,1215.0,110.0,2,2,0,3,2
Kengeri Satellite Town,1007.0,42.0,2,3,0,3,2
Bellandur,2039.0,168.0,3,2,0,3,3
Ulsoor,1020.0,110.0,3,2,0,0,3
Outer Ring Road East,1198.0,84.0,2,1,0,3,2
5th block Koramangala,4000.0,520.0,4,1,0,0,4
Nelamangala,1470.0,34.5,4,2,0,2,4
JakkurYelahanka,1370.0,75.0,2,2,0,0,2
Yemlur,1316.0,55.5,2,3,0,3,2
Kaggadasapura,1350.0,55.5,3,1,0,3,3
Gunjur Palya,1050.0,43.0,2,1,2,3,2
KR Puram,1005.03,47.405,3,0,0,1,3
Electronic City,921.0,34.0,2,1,0,3,2
Kundalahalli,1010.0,49.27,2,1,0,3,2
KR Puram,1015.0,43.0,2,1,2,3,2
TC Palaya,1200.0,66.5,2,0,0,2,3
Lakshminarayana Pura,1179.0,75.0,2,1,0,0,2
Anjanapura,1850.0,86.0,4,2,0,0,4
Kammasandra,870.0,24.0,2,1,0,3,2
Bellandur,1605.0,85.0,3,2,0,3,3
Banashankari Stage VI,2800.0,89.0,4,2,0,2,4
Malleshwaram,2475.0,320.0,4,3,0,3,3
Ngef Layout,3000.0,510.0,2,0,0,2,2
Bileshivale,2400.0,110.0,7,2,0,2,6
2nd Phase JP Nagar,1000.0,55.0,1,1,0,3,2
Ramamurthy Nagar,1200.0,80.0,2,0,0,2,2
Manjunatha Layout,1200.0,125.0,2,2,0,2,2
Kammasandra,1200.0,66.0,2,1,2,2,2
Kashi Nagar,1200.0,50.0,2,2,0,0,2
Hennur,1255.0,57.5,2,1,0,3,2
Hosur Road,1085.0,30.38,2,2,0,3,2
Kanakpura Road,1592.0,125.0,3,2,2,3,3
B Narayanapura,1313.0,58.27,2,1,2,3,2
Kogilu,1934.0,150.0,3,2,2,3,3
Harlur,1200.0,49.5,2,1,0,3,2
Uttarahalli,3600.0,120.0,6,2,0,3,6
Old Madras Road,935.0,45.0,2,1,2,3,2
Bommasandra,877.0,30.0,2,2,0,0,2
Ashwathnagar,936.0,42.0,2,2,0,3,2
Nagasandra,1470.0,110.0,2,2,0,3,3
Upkar Layout,1050.0,70.0,1,1,0,0,1
Hennur Road,1232.0,69.61,2,0,2,3,2
Ambedkar Nagar,2225.0,169.0,4,2,0,3,3
Sunkadakatte,1200.0,80.0,2,0,0,2,3
Dasarahalli,1901.0,119.0,3,2,0,3,3
Sarjapur  Road,1819.0,100.0,3,2,2,3,3
HOSUR MAIN ROAD,1464.0,56.0,3,2,0,3,3
Banashankari,2400.0,460.0,3,2,2,2,2
Old Madras Road,3630.0,200.5,6,0,0,3,4
9th Phase JP Nagar,5000.0,290.0,4,3,0,0,4
Someshwara Layout,1200.0,169.0,4,3,0,3,4
Kacharakanahalli,1256.0,60.0,2,1,0,3,2
7th Phase JP Nagar,1100.0,44.0,2,2,0,3,2
TC Palaya,4800.0,302.0,3,3,0,2,4
Kothanur,1435.0,70.0,3,3,0,3,3
6th Phase JP Nagar,3245.0,250.0,4,3,0,3,4
Sarjapur  Road,1845.0,110.0,4,1,0,3,3
Jigani,2400.0,130.0,4,1,0,2,3
HSR Layout,1140.0,46.0,2,2,0,3,2
Ulsoor,1200.0,60.0,2,0,2,3,2
Talaghattapura,2254.0,170.0,3,2,2,3,3
Frazer Town,1750.0,150.0,3,2,0,3,3
Jalahalli West,1020.0,37.0,2,1,0,0,2
Bommanahalli,515.0,25.0,1,1,0,0,1
Lingadheeranahalli,1893.0,140.0,3,2,0,3,3
Vasanth nagar,3025.0,500.0,3,0,0,3,3
Suddaguntepalya,830.0,34.0,2,0,0,0,2
Singasandra,600.0,36.5,2,1,0,0,2
Bisuvanahalli,1075.0,90.0,2,1,0,3,3
Kathreguppe,3200.0,1200.0,4,2,0,2,4
Kasavanhalli,1200.0,78.0,2,1,0,3,2
Sarjapur  Road,1233.0,77.65,2,2,2,3,2
Bannerghatta Road,1255.0,65.26,2,2,0,3,2
Begur Road,1200.0,37.8,2,2,0,3,2
Varthur,2145.0,175.0,3,2,0,3,3
1st Phase JP Nagar,1500.0,85.0,5,2,0,0,5
Kothannur,740.0,34.0,2,1,0,0,2
Kengeri,1250.0,48.0,3,3,0,3,3
Channasandra Layout,1210.0,40.0,2,2,0,3,2
Sarjapur  Road,1525.0,60.0,2,2,0,3,3
Kogilu,540.0,36.0,1,0,0,0,1
Tumkur Road,1240.0,84.0,2,1,0,3,3
Subramanyapura,1245.0,68.0,2,1,0,3,3
HAL 3rd Stage,1865.0,350.0,3,3,0,2,3
Hosa Road,1004.0,36.43,2,0,2,3,2
Bisuvanahalli,1075.0,35.99,2,1,0,3,3
Nagavara,2200.0,55.0,2,1,2,0,2
Whitefield,1155.0,60.0,2,1,0,3,2
Doctors Layout,1520.0,62.0,2,3,0,3,2
Thigalarapalya,3122.0,245.0,6,2,0,3,4
Harlur,1290.0,85.0,2,1,0,3,2
1st Block HRBR Layout,2300.0,80.0,3,1,0,0,3
Kannamangala,3000.0,200.0,4,0,0,0,4
Whitefield,1556.5949939731809,270.0,4,0,0,3,4
Austin Town,400.0,14.0,1,0,0,0,1
Banashankari,1340.0,53.6,2,3,0,3,3
Malleshwaram,900.0,95.0,2,1,0,3,2
Rajaji Nagar,1800.0,324.0,4,1,0,2,6
Hennur Road,987.0,49.0,2,1,0,3,2
Old Madras Road,1720.0,100.0,3,2,0,3,3
Hebbal,1040.0,50.0,2,1,0,3,2
Anandapura,900.0,64.0,2,0,0,0,2
Raja Rajeshwari Nagar,1030.0,50.0,2,1,0,0,2
Neeladri Nagar,2556.0,133.0,3,2,0,3,3
Basavangudi,1850.0,168.0,3,1,0,3,3
Kaval Byrasandra,750.0,110.0,4,3,0,2,4
Balagere,1028.0,31.86,2,1,2,3,2
7th Phase JP Nagar,1270.0,83.0,2,1,0,3,2
Sahakara Nagar,1655.0,115.0,3,1,2,0,3
Electronics City Phase 1,940.0,40.0,2,1,0,0,2
Domlur,1050.0,85.0,2,2,0,3,2
Rajagopala Nagar,600.0,40.0,4,1,0,2,4
Vishwapriya Nagar,946.0,38.0,2,1,2,3,2
CV Raman Nagar,1726.0,145.0,3,3,0,0,3
Sarakki Nagar,2121.0,253.0,4,3,0,3,3
Vittasandra,1404.0,75.0,2,1,0,3,2
Sarjapur,1525.0,48.0,2,2,0,3,3
Kengeri,1025.0,57.0,2,2,0,3,2
Bahubali Nagar,1575.0,150.0,4,0,0,2,5
RMV 2nd Stage,860.0,43.0,1,1,0,0,2
Talaghattapura,1223.0,42.81,2,1,0,3,3
Lottegolla Halli,3750.0,550.0,3,1,0,3,4
Kothannur,1197.0,47.8,2,1,0,3,2
Garudachar Palya,1150.0,52.75,2,1,0,3,2
Kodbisanhalli,4800.0,629.0,5,3,0,0,4
R.T. Nagar,1040.0,46.0,2,2,0,3,2
Banashankari,1310.0,80.0,2,2,2,3,2
Uttarahalli,1788.0,98.34,3,2,0,3,3
Raja Rajeshwari Nagar,1144.0,38.55,2,2,0,3,2
Anjanapura,1070.0,39.0,2,2,2,3,2
Nandini Layout,1200.0,70.0,2,2,0,3,2
Ambedkar Nagar,1862.0,120.0,3,2,0,3,3
Margondanahalli,1200.0,58.5,2,1,0,2,2
Begur Road,970.0,27.0,2,2,0,3,2
Kasavanhalli,1646.0,79.5,3,2,2,3,3
Sarjapur  Road,4395.0,242.0,4,2,0,3,4
Vibhutipura Extension,1200.0,100.0,4,1,0,2,5
Iblur Village,1995.0,135.0,3,2,2,3,3
1st Block Jayanagar,2400.0,450.0,4,2,0,2,4
Hosakerehalli,1085.0,47.74,2,1,2,3,2
Budigere,1139.0,56.8,2,2,0,3,2
Haralur Road,1092.0,44.0,2,2,0,3,2
Pattandur Agrahara,1767.0,98.0,3,2,0,3,3
HMT Layout,1700.0,80.0,3,2,0,0,3
Bellandur,1692.0,88.0,3,2,0,3,3
6th Phase JP Nagar,1645.0,100.0,3,3,0,0,3
Uttarahalli,1345.0,57.0,2,1,0,3,3
Basapura,1100.0,60.0,2,1,0,3,2
Gollarapalya Hosahalli,1408.0,62.0,3,3,0,3,3
Banashankari Stage III,2400.0,240.0,4,1,0,2,4
Kadugodi,1920.0,200.0,4,2,0,2,4
Bileshivale,6040.0,170.0,4,2,0,2,5
Thigalarapalya,2072.0,150.0,4,2,0,3,3
Malleshwaram,1420.0,158.0,2,1,0,3,2
Electronics City Phase 1,2040.0,137.0,3,2,0,2,3
Sarjapur  Road,1220.0,56.0,3,2,0,3,3
8th Phase JP Nagar,1200.0,145.0,4,2,0,2,4
B Channasandra,1300.0,79.0,2,1,0,3,2
Electronics City Phase 1,1150.0,39.0,2,2,2,3,2
KR Puram,1470.0,86.0,2,2,0,3,2
Hosa Road,1063.0,31.9,2,1,2,3,2
Harappanahalli,1311.0,48.0,2,2,0,3,2
Dollars Colony,3500.0,350.0,4,3,0,3,4
Nagarbhavi,600.0,100.0,2,1,0,2,4
Arehalli,1400.0,55.0,2,2,0,3,3
Kanakpura Road,2200.0,62.0,2,0,2,0,2
Thanisandra,1430.0,56.0,2,2,0,3,3
Vidyaranyapura,1060.0,55.0,2,2,0,0,2
Cambridge  road,1000.0,110.0,2,0,0,0,3
Sector 7 HSR Layout,1760.0,145.0,3,2,0,3,3
Whitefield,2010.0,92.0,3,3,0,3,3
Kanakpura Road,1480.0,64.23,2,2,0,3,3
8th Phase JP Nagar,1230.0,43.5,2,2,2,3,3
Gottigere,1300.0,65.0,3,3,0,3,3
Vajarahalli,800.0,120.0,4,0,0,2,4
Frazer Town,4850.0,385.0,6,2,0,3,4
Singasandra,1100.0,52.0,2,1,0,3,2
Harlur,1752.12,116.0,3,2,0,3,3
Marathahalli,957.0,46.9,2,1,0,3,2
Balagere,645.0,41.9,1,0,2,3,1
Hennur Gardens,1942.0,102.0,3,2,0,0,3
Ashirvad Colony,1000.0,53.0,2,2,0,0,2
Yeshwanthpur,668.0,36.85,1,1,0,3,1
Cholanayakanahalli,3000.0,1000.0,6,3,0,2,5
Nagarbhavi,600.0,80.0,2,1,0,2,3
Uttarahalli,1089.0,43.55,2,1,0,3,2
Thanisandra,1800.0,90.0,3,3,0,3,3
Yelahanka New Town,960.0,18.0,2,1,0,3,1
Yelahanka,1036.0,39.35,2,3,0,3,2
Marathahalli,1583.0,105.0,3,3,0,3,3
7th Phase JP Nagar,3300.0,150.0,4,0,0,0,4
Padmanabhanagar,1100.0,65.0,2,2,0,3,2
Thyagaraja Nagar,800.0,100.0,1,1,0,2,1
Vittasandra,1246.0,65.0,2,1,0,3,2
Dodda Nekkundi,850.0,28.0,2,3,0,3,2
Raja Rajeshwari Nagar,1196.0,51.51,2,2,0,3,2
Thanisandra,1697.0,114.0,3,2,0,3,3
TC Palaya,1000.0,64.0,2,0,0,0,2
HRBR Layout,1567.0,90.0,3,3,0,3,3
Anekal,1200.0,36.0,1,1,2,2,2
Sarjapur  Road,3750.0,290.0,6,3,0,2,4
Veerannapalya,950.0,45.0,2,2,0,3,2
Howthinarayanappa Garden,1022.0,52.0,2,2,0,3,2
Kammasandra,1018.0,23.45,2,0,0,3,2
Basavanagara,2000.0,25.0,3,2,0,2,4
Bharathi Nagar,1322.0,68.0,2,2,0,3,2
Marsur,1800.0,145.0,4,2,0,2,4
Doddakallasandra,1460.0,58.39,2,2,0,3,3
SRINIVASAPURA,990.0,44.55,2,1,2,3,2
Cambridge Layout,2400.0,260.0,3,1,0,0,3
Whitefield,1635.0,85.0,2,2,0,3,3
Rajaji Nagar,3526.0,558.0,4,1,0,3,4
Padmanabhanagar,3400.0,210.0,3,1,0,0,4
Ramakrishnappa Layout,2770.0,460.0,3,1,0,0,3
EPIP Zone,2710.0,200.0,5,0,0,3,4
Maragondanahalli,1533.0,85.0,3,2,0,3,3
Akshaya Nagar,1720.0,134.0,3,1,0,3,3
Frazer Town,2000.0,200.0,3,1,0,3,3
Yeshwanthpur,1185.0,75.84,2,2,2,3,2
Varthur Road,900.0,27.0,2,1,2,3,2
Attibele,395.0,10.25,1,1,0,0,1
Electronic City Phase II,1031.0,56.35,2,1,0,3,2
3rd Block Banashankari,2400.0,650.0,8,2,0,2,6
Thanisandra,2650.0,240.0,4,2,0,3,4
Basaveshwara Nagar,2400.0,415.0,5,1,0,2,5
Uttarahalli,1330.0,46.55,2,2,0,3,3
Hennur,1259.0,57.0,2,2,0,3,2
Raja Rajeshwari Nagar,1570.0,88.0,3,2,0,0,3
Bisuvanahalli,1075.0,36.0,2,1,0,0,3
Whitefield,1216.0,79.0,2,1,2,3,2
Sarjapur  Road,1428.0,66.0,2,2,0,3,3
Begur Road,1160.0,40.59,2,2,0,3,2
 ittamadu,600.0,110.0,2,1,2,2,3
Doddakannelli,1475.0,70.0,3,2,0,3,3
Harlur,1754.0,135.0,3,2,0,3,3
Rayasandra,1639.0,83.0,3,1,2,3,3
Hennur Road,1804.0,102.0,3,2,2,3,3
Whitefield,1200.0,56.2,3,2,2,2,3
Anand Nagar,1135.0,55.0,2,3,0,0,2
Begur Road,1260.0,46.62,2,2,0,3,2
Peenya,1440.0,110.0,5,1,0,2,5
Hennur Road,2160.0,160.0,3,2,0,0,3
Rayasandra,700.0,85.0,6,2,0,2,7
Rachenahalli,1220.0,59.5,2,2,0,3,2
Margondanahalli,1200.0,67.0,2,0,0,2,2
Yelahanka,1300.0,65.0,2,3,0,3,2
Cox Town,605.0,29.0,1,1,0,3,1
Vijayanagar,1230.0,210.0,4,1,0,2,6
Bhoganhalli,1444.0,75.97,2,1,2,3,2
Amruthahalli,924.0,45.0,2,1,0,0,2
Kaikondrahalli,1000.0,30.0,2,1,2,3,2
Vishveshwarya Layout,600.0,95.0,4,0,0,2,4
Patelappa Layout,1200.0,225.0,3,3,0,2,3
Bisuvanahalli,845.0,29.0,2,1,0,3,2
Kanakpura Road,700.0,35.0,2,1,2,3,2
Kothanur,1187.0,58.0,2,2,0,3,2
Kaggadasapura,1625.0,55.0,3,2,0,3,3
 Devarachikkanahalli,1200.0,83.0,2,2,0,2,2
Pulkeshi Nagar,1452.55,110.0,2,3,0,3,2
"Thanisandra Main Road, ",2357.0,151.0,3,2,0,0,3
Kaval Byrasandra,1200.0,49.5,2,1,0,3,2
Budigere,1139.0,56.85,2,2,0,3,2
Basavangudi,600.0,97.5,1,0,0,0,1
Kanakpura Road,1660.0,75.0,3,3,0,3,3
Jayanagar,1170.0,105.0,2,3,0,3,2
Somasundara Palya,1448.0,68.0,2,2,0,3,2
Kadugodi,1762.0,110.0,3,3,2,3,3
Kaggadasapura,1105.0,38.65,2,1,0,3,2
Yelahanka,1825.0,105.0,3,1,2,3,3
 Bhoganhalli,296.0,22.89,1,0,2,3,1
Kumbalgodu,1200.0,85.0,4,1,0,2,5
Thanisandra,1185.0,43.0,2,2,0,3,2
Electronic City Phase II,1320.0,38.12,2,1,2,0,3
Hulimavu,1058.0,48.0,2,1,0,3,2
Bellandur,1220.0,60.0,2,2,0,3,2
Sarjapur,925.0,25.0,2,1,2,3,2
Old Madras Road,1200.0,72.0,2,1,2,3,2
Kengeri,1160.0,40.6,2,2,0,3,3
Kengeri Satellite Town,600.0,72.0,4,3,0,2,3
banashankari stage iii sa,1411.0,91.72,3,2,2,3,3
Bannerghatta Road,1550.0,78.0,3,2,0,3,3
Green Glen Layout,3250.0,230.0,4,3,0,3,4
Haralur Road,2475.0,130.0,4,3,0,3,3
Jakkur,2249.81,260.5,4,3,2,3,4
7th Phase JP Nagar,2503.0,188.0,4,0,2,3,4
Marathahalli,2524.0,190.0,5,2,0,3,4
Kaggadasapura,1063.0,42.0,2,2,0,3,2
Kanakpura Road,1077.0,37.7,2,1,0,3,2
Manayata Tech Park,1200.0,44.0,3,2,0,3,2
Hosakerehalli,1500.0,70.0,3,2,0,0,4
Jalahalli,1045.0,76.77,2,2,0,3,2
Kanakapura,1290.0,45.15,2,3,0,3,3
Hoodi,1400.0,78.0,2,1,0,3,2
Begur Road,1600.0,58.14,3,2,0,0,3
Jayanagar,3095.0,375.0,3,3,0,3,3
Nagavara,1545.0,58.0,2,1,0,3,3
Sarjapur  Road,1680.0,112.0,3,1,0,3,3
Amruthnagar,1350.0,67.5,2,1,0,0,2
Gottigere,950.0,38.0,2,1,0,3,2
Thanisandra,1050.0,45.0,2,2,0,3,2
Banashankari Stage V,1305.0,49.0,2,2,0,3,3
Hosakerehalli,800.0,120.0,4,2,0,2,4
Kodichikkanahalli,2700.0,125.0,7,2,2,0,5
MS Pallya,1100.0,78.0,3,1,0,2,3
Thanisandra,3500.0,160.0,5,0,0,0,6
Begur Road,1634.0,83.33,3,1,2,3,3
Prithvi Layout,1352.0,85.0,2,2,0,3,2
Balagere,1145.0,65.0,2,2,2,3,2
Alfa Garden Layout,1240.0,43.79,2,2,2,3,2
7th Phase JP Nagar,2200.0,190.0,3,2,0,3,3
Bommasandra Industrial Area,1020.0,39.0,2,1,2,3,2
Palace Guttahalli,3600.0,365.0,4,1,0,3,4
Raja Rajeshwari Nagar,1168.0,61.0,2,1,2,3,2
Electronic City Phase II,1205.0,75.0,2,1,2,3,2
Yeshwanthpur,1195.0,100.0,2,2,0,3,2
CV Raman Nagar,1028.0,49.0,2,1,0,0,2
Akshya Nagar,1175.0,48.27,2,2,0,3,2
Pai Layout,1550.0,90.0,2,2,0,3,3
Yeshwanthpur,1826.0,165.0,3,2,0,3,3
Hoodi,2400.0,160.0,5,2,0,2,5
Yelahanka,1603.0,96.0,3,2,0,3,3
Marathahalli,1350.0,72.0,3,1,0,0,3
KR Puram,714.0,28.0,1,1,0,0,1
Whitefield,1215.0,65.0,2,3,2,3,2
Malleshpalya,1405.0,77.0,2,2,0,0,3
KR Puram,1142.0,51.0,2,1,0,3,2
Akshaya Vana,4000.0,170.0,4,3,0,0,4
Whitefield,1870.0,90.0,3,2,0,3,3
Subramanyapura,1313.0,73.0,2,2,0,3,2
Hennur Gardens,1945.0,120.0,3,3,0,0,3
Thanisandra,1573.0,95.0,3,2,2,3,3
Sarjapur  Road,1255.0,92.0,2,1,0,3,2
Benson Town,1400.0,91.15,3,2,0,3,4
Kannamangala,1235.0,43.63,2,2,2,3,2
Sarjapur  Road,1380.0,52.0,2,1,0,3,3
Ramamurthy Nagar,1500.0,250.0,9,2,0,2,7
Vittasandra,1238.0,67.0,2,1,0,3,2
Chennammana Kere,1465.0,74.72,2,3,2,3,3
Thigalarapalya,1418.0,103.0,2,2,0,3,2
Victoria Layout,1650.0,165.0,3,1,0,3,3
 Anekal,351.0,16.0,1,1,0,0,1
Uttarahalli,1279.0,48.0,2,2,0,3,2
Kasavanhalli,1870.0,200.0,3,1,0,0,3
BCC Layout,1500.0,230.0,5,1,0,2,4
Hebbal,2526.0,250.0,2,2,2,3,3
Mathikere,1550.0,150.0,2,1,0,2,3
Rajaji Nagar,3436.0,424.5,2,1,0,3,4
Uttarahalli,1845.0,68.27,2,1,2,3,3
Motappa Layout,1360.0,59.27,2,1,0,3,3
Friends Colony,1150.0,75.0,2,1,0,0,3
Whitefield,1260.0,49.5,2,2,0,3,2
Doddabidrakallu,1200.0,74.0,3,1,0,2,3
Dasanapura,965.0,42.5,2,1,0,0,2
